"","Model Year","Make","Model Name","Vehicle Class","Engine Size (L)","Cylinders","Transmission","Fuel Type","Fuel Consumption: City (L/100 km)","Fuel Consumption: Hwy (L/100 km)","Fuel Consuption: Comb (L/100 km)","Fuel Consuption: Comb (mpg)","CO2 Emissions (g/km)","CO2 Rating","Smog Rating"
"1",2020,"Acura","MDX SH-AWD A-SPEC","SUV: Small",3.5,6,"AS9","Z",12.2,9.5,11,26,258,4,3
"2",2020,"Acura","ILX","Compact",2.4,4,"AM8","Z",9.9,7,8.6,33,199,6,3
"3",2020,"Alfa Romeo","Giulia","Mid-size",2,4,"A8","Z",10,7.2,8.7,32,205,6,3
"4",2020,"Alfa Romeo","Stelvio","SUV: Small",2,4,"A8","Z",10.3,8.1,9.3,30,218,5,3
"5",2020,"Aston Martin","DB11 V8","Minicompact",4,8,"A8","Z",13,9.8,11.5,25,271,4,3
"6",2020,"Audi","A5 Sportback quattro","Mid-size",2,4,"AM7","Z",10,7.3,8.8,32,205,6,3
"7",2020,"Audi","A6 allroad","Mid-size",3,6,"AM7","Z",11.8,9.1,10.6,27,247,4,5
"8",2020,"Audi","S5","Subcompact",3,6,"AS8","Z",11.8,8.9,10.5,27,245,5,5
"9",2020,"Audi","TT Coupe quattro","Subcompact",2,4,"AM7","X",10.3,7.7,9.1,31,213,5,7
"10",2020,"Audi","S3","Subcompact",2,4,"AM7","Z",10.7,8,9.5,30,222,5,3
"11",2020,"Audi","SQ5","SUV: Small",3,6,"AS8","Z",13.1,10.3,11.8,24,276,4,5
"12",2020,"Audi","A6 quattro","Mid-size",2,4,"AM7","Z",9.8,7.4,8.7,32,205,6,5
"13",2020,"Audi","TT Roadster quattro","Two-seater",2,4,"AM7","X",10.3,7.7,9.1,31,213,5,7
"14",2020,"Bentley","Continental GT","Compact",4,8,"AM8","Z",15.1,9.1,12.4,23,291,3,3
"15",2020,"Bentley","Flying Spur","Mid-size",6,12,"AM8","Z",19.2,12.2,16,18,373,2,3
"16",2020,"BMW","540i xDrive Sedan","Mid-size",3,6,"AS8","Z",10.7,8.1,9.5,30,222,5,5
"17",2020,"BMW","M4 Coupe","Compact",3,6,"M6","Z",13.4,9.6,11.7,24,273,4,3
"18",2020,"BMW","Alpina B7 xDrive","Full-size",4.4,8,"AS8","Z",14.5,9.9,12.4,23,290,3,3
"19",2020,"BMW","M4 Coupe Competition","Compact",3,6,"AM7","Z",14.1,10.3,12.4,23,290,3,3
"20",2020,"BMW","M8 Cabriolet Competition","Subcompact",4.4,8,"AS8","Z",16,11,13.8,20,322,3,3
"21",2020,"BMW","X4 M40i","SUV: Small",3,6,"AS8","Z",11.3,8.7,10.1,28,235,5,5
"22",2020,"BMW","440i xDrive Coupe","Compact",3,6,"M6","Z",13,8.5,11,26,257,4,3
"23",2020,"BMW","440i xDrive Coupe","Compact",3,6,"AS8","Z",11.4,8.3,10,28,233,5,3
"24",2020,"BMW","M850i xDrive Coupe","Subcompact",4.4,8,"AS8","Z",13.6,9.3,11.7,24,273,4,3
"25",2020,"BMW","X4 xDrive30i","SUV: Small",2,4,"AS8","Z",10,8.2,9.2,31,215,5,7
"26",2020,"BMW","M240i Coupe M Performance","Subcompact",3,6,"M6","Z",12.7,8.8,10.9,26,255,4,3
"27",2020,"BMW","430i xDrive Gran Coupe","Compact",2,4,"AS8","Z",10.9,7.5,9.4,30,219,5,7
"28",2020,"BMW","M8 Coupe Competition","Subcompact",4.4,8,"AS8","Z",16,11,13.8,20,322,3,3
"29",2020,"BMW","X4 M Competition","SUV: Small",3,6,"AS8","Z",16.6,12.1,14.6,19,339,2,3
"30",2020,"BMW","M5 Competition","Mid-size",4.4,8,"AS8","Z",16,11,13.8,20,322,3,3
"31",2020,"BMW","M240i Cabriolet","Subcompact",3,6,"AS8","Z",11.4,8.1,9.9,29,231,5,3
"32",2020,"BMW","M240i xDrive Coupe","Subcompact",3,6,"AS8","Z",11.4,8.3,10,28,233,5,3
"33",2020,"Buick","Encore GX","SUV: Small",1.2,3,"AV","X",9,7.7,8.4,34,198,6,7
"34",2020,"Buick","Enclave","SUV: Standard",3.6,6,"A9","X",13,9.1,11.2,25,263,4,6
"35",2020,"Buick","Regal AWD","Mid-size",3.6,6,"AS9","X",12.5,8.8,10.9,26,255,4,6
"36",2020,"Cadillac","XT4","SUV: Small",2,4,"AS9","Z",9.8,7.8,8.9,32,209,5,6
"37",2020,"Cadillac","CT6 AWD","Full-size",4.2,8,"AS10","Z",17.3,9.5,13.8,20,324,3,3
"38",2020,"Cadillac","XT5 AWD","SUV: Small",2,4,"AS9","Z",11.2,8.9,10.1,28,235,5,6
"39",2020,"Chevrolet","Impala","Full-size",3.6,6,"AS6","E",17.2,11.6,14.7,19,246,4,5
"40",2020,"Chevrolet","Suburban 4WD","SUV: Standard",5.3,8,"A6","X",16.8,11.3,14.4,20,337,2,3
"41",2020,"Chevrolet","Suburban 4WD FFV","SUV: Standard",5.3,8,"A6","X",16.8,11.3,14.4,20,337,2,3
"42",2020,"Chevrolet","Equinox AWD","SUV: Small",1.5,4,"A6","X",9.3,8,8.7,32,204,6,7
"43",2020,"Chevrolet","Silverado FFV","Pickup truck: Standard",5.3,8,"A6","E",22.2,16.2,19.5,14,326,3,3
"44",2020,"Chevrolet","Tahoe 4WD FFV","SUV: Standard",5.3,8,"A6","E",21.7,14.3,18.4,15,305,3,3
"45",2020,"Chevrolet","Tahoe FFV","SUV: Standard",5.3,8,"A6","X",15.7,10.5,13.4,21,314,3,3
"46",2020,"Chevrolet","Tahoe 4WD FFV","SUV: Standard",5.3,8,"A6","X",16,11.2,13.8,20,325,3,3
"47",2020,"Chevrolet","Silverado FFV","Pickup truck: Standard",5.3,8,"A6","X",16,12.6,14.4,20,339,2,3
"48",2020,"Chevrolet","Trax","SUV: Small",1.4,4,"AS6","X",9.1,7.6,8.4,34,196,6,5
"49",2020,"Chevrolet","Silverado 4WD FFV","Pickup truck: Standard",5.3,8,"A6","E",22.3,18.1,20.5,14,342,2,3
"50",2020,"Chevrolet","Equinox","SUV: Small",1.5,4,"A6","X",8.9,7.7,8.4,34,196,6,7
"51",2020,"Chevrolet","Tahoe 4WD","SUV: Standard",5.3,8,"A6","X",16,11.2,13.8,20,325,3,3
"52",2020,"Chevrolet","Camaro","Subcompact",3.6,6,"AS10","X",12.5,8.1,10.5,27,247,4,6
"53",2020,"Chevrolet","Silverado 4WD LT Trail Boss","Pickup truck: Standard",6.2,8,"A10","Z",15.7,12.4,14.2,20,332,3,3
"54",2020,"Chevrolet","Silverado","Pickup truck: Standard",3,6,"A10","D",10.2,7.2,8.9,32,238,5,1
"55",2020,"Chrysler","300","Full-size",5.7,8,"A8","X",14.7,9.4,12.3,23,289,3,3
"56",2020,"Dodge","Charger","Full-size",3.6,6,"A8","X",12.4,7.8,10.3,27,242,5,3
"57",2020,"Dodge","Challenger (MDS)","Mid-size",6.4,8,"A8","Z",15.8,9.6,13,22,305,3,1
"58",2020,"Dodge","Challenger SRT Hellcat","Mid-size",6.2,8,"M6","Z",18.1,11.4,15.1,19,352,2,1
"59",2020,"Dodge","Challenger","Mid-size",6.4,8,"M6","Z",16.7,10.4,13.9,20,325,3,1
"60",2020,"Dodge","Grand Caravan","Minivan",3.6,6,"A6","X",13.7,9.4,11.8,24,276,4,5
"61",2020,"Dodge","Charger Widebody (MDS)","Full-size",6.4,8,"A8","Z",15.8,9.6,13,22,305,3,1
"62",2020,"FIAT","500X AWD","SUV: Small",1.3,4,"A9","X",10,7.9,9.1,31,213,5,6
"63",2020,"Ford","Expedition 4X4","SUV: Standard",3.5,6,"AS10","X",14.1,10.6,12.5,23,294,3,5
"64",2020,"Ford","Mustang Convertible","Subcompact",2.3,4,"M6","X",11.8,8.4,10.3,27,240,5,5
"65",2020,"Ford","Transit Connect Wagon LWB FFV","Special purpose vehicle",2,4,"AS8","E",13.7,11.1,12.5,23,208,6,5
"66",2020,"Ford","Escape AWD","SUV: Small",1.5,3,"AS8","X",8.9,7.6,8.3,34,196,6,7
"67",2020,"Ford","Shelby GT350 Mustang","Subcompact",5.2,8,"M6","Z",17.1,11.4,14.5,19,342,2,3
"68",2020,"Ford","Expedition MAX 4X4","SUV: Standard",3.5,6,"AS10","X",14.7,11.2,13.1,22,308,3,5
"69",2020,"Ford","F-150","Pickup truck: Standard",3.5,6,"AS10","X",14.3,10.7,12.7,22,298,3,5
"70",2020,"Ford","EcoSport AWD","SUV: Small",2,4,"AS6","X",10.2,8.1,9.2,31,216,5,5
"71",2020,"Ford","Mustang Convertible","Subcompact",5,8,"AS10","X",15.4,9.7,12.9,22,303,3,3
"72",2020,"Ford","F-150 4X4 XL/XLT","Pickup truck: Standard",3,6,"AS10","D",11.3,8.5,10,28,270,4,1
"73",2020,"Ford","F-150 FFV 4X4","Pickup truck: Standard",5,8,"AS10","E",20.3,14.7,17.8,16,296,3,3
"74",2020,"Ford","Transit Connect Van LWB","Special purpose vehicle",2,4,"AS8","X",9.8,8.8,9.3,30,219,5,6
"75",2020,"Ford","Transit Connect Wagon LWB","Special purpose vehicle",2.5,4,"AS6","X",12.1,9,10.7,26,251,4,5
"76",2020,"Ford","F-150","Pickup truck: Standard",3,6,"AS10","D",11.1,8.3,9.8,29,264,4,1
"77",2020,"Ford","Shelby GT500 Mustang","Subcompact",5.2,8,"AM7","Z",19.9,12.7,16.7,17,392,1,3
"78",2020,"Ford","F-150 FFV (LT Tire Pkg)","Pickup truck: Standard",5,8,"AS10","X",14.4,11.2,13,22,305,3,3
"79",2020,"Genesis","G90 AWD","Full-size",5,8,"AS8","Z",15.4,10.2,13.1,22,311,3,5
"80",2020,"Genesis","G80 AWD","Full-size",3.3,6,"AS8","Z",13.8,9.7,11.9,24,282,4,3
"81",2020,"GMC","Yukon 4WD","SUV: Standard",5.3,8,"A6","X",16,11.2,13.8,20,325,3,3
"82",2020,"GMC","Sierra","Pickup truck: Standard",3,6,"A10","D",10.2,7.8,9.1,31,245,5,1
"83",2020,"GMC","Sierra 4WD","Pickup truck: Standard",5.3,8,"A10","X",14.3,10.6,12.7,22,298,3,5
"84",2020,"GMC","Sierra 4WD FFV","Pickup truck: Standard",5.3,8,"A6","X",16.4,12.6,14.7,19,344,2,3
"85",2020,"GMC","Sierra","Pickup truck: Standard",2.7,4,"A8","X",11.9,10.3,11.1,25,262,4,6
"86",2020,"GMC","Sierra 4WD AT4","Pickup truck: Standard",5.3,8,"A8","X",15.1,11.4,13.4,21,314,3,5
"87",2020,"GMC","Sierra 4WD AT4","Pickup truck: Standard",5.3,8,"A10","X",14.7,11.2,13.1,22,307,3,5
"88",2020,"GMC","Yukon XL 4WD FFV","SUV: Standard",5.3,8,"A6","E",22.2,15.3,19.1,15,319,3,3
"89",2020,"GMC","Canyon 4WD","Pickup truck: Small",3.6,6,"A8","X",14,9.9,12.2,23,286,3,5
"90",2020,"GMC","Yukon XL FFV","SUV: Standard",5.3,8,"A6","E",21.2,13.9,17.9,16,298,3,3
"91",2020,"GMC","Sierra 4WD","Pickup truck: Standard",4.3,6,"A6","X",15.7,12,14.1,20,331,3,6
"92",2020,"GMC","Sierra","Pickup truck: Standard",5.3,8,"A6","X",15.9,11.4,13.9,20,326,3,5
"93",2020,"Honda","Civic Hatchback Sport","Full-size",1.5,4,"AV7","Z",8,6.6,7.4,38,172,7,3
"94",2020,"Honda","Civic Coupe Si","Compact",1.5,4,"M6","Z",8.9,6.4,7.8,36,183,7,3
"95",2020,"Honda","Fit","Station wagon: Small",1.5,4,"M6","X",8.1,6.6,7.4,38,174,7,3
"96",2020,"Honda","Ridgeline AWD","Pickup truck: Standard",3.5,6,"AS9","X",12.6,10,11.4,25,269,4,3
"97",2020,"Honda","Civic Hatchback Sport","Full-size",1.5,4,"M6","Z",8,6.2,7.2,39,167,7,3
"98",2020,"Honda","HR-V AWD","Station wagon: Small",1.8,4,"AV7","X",9.1,7.7,8.5,33,200,6,5
"99",2020,"Honda","Civic Coupe","Compact",1.5,4,"AV7","X",7.8,6.4,7.2,39,167,7,3
"100",2020,"Honda","Civic Coupe","Compact",2,4,"AV","X",7.8,6.1,7.1,40,164,8,3
"101",2020,"Hyundai","Accent","Compact",1.6,4,"M6","X",7.8,6.1,7,40,168,7,3
"102",2020,"Hyundai","Palisade","SUV: Standard",3.8,6,"AS8","X",11.9,8.8,10.5,27,250,4,5
"103",2020,"Hyundai","Kona AWD","SUV: Small",1.6,4,"AM7","X",9,8,8.6,33,201,6,5
"104",2020,"Hyundai","Santa Fe","SUV: Small",2.4,4,"AS8","X",10.8,8,9.6,29,225,5,5
"105",2020,"Hyundai","Venue","Mid-size",1.6,4,"M6","X",8.6,6.8,7.8,36,184,7,5
"106",2020,"Hyundai","Santa Fe AWD","SUV: Small",2,4,"AS8","X",12,9.2,10.7,26,255,4,5
"107",2020,"Hyundai","Sonata","Full-size",2.5,4,"AS8","X",8.8,6.4,7.7,37,182,7,7
"108",2020,"Infiniti","Q50 AWD Red Sport","Mid-size",3,6,"AS7","Z",12.5,9.3,11.1,25,261,4,3
"109",2020,"Infiniti","Q60 AWD Red Sport","Subcompact",3,6,"AS7","Z",12.5,9.2,11,26,259,4,3
"110",2020,"Jaguar","F-TYPE R AWD Convertible","Two-seater",5,8,"AS8","Z",15.2,9.8,12.7,22,299,3,3
"111",2020,"Jaguar","F-PACE S","SUV: Small",3,6,"AS8","Z",13.3,10,11.8,24,277,4,7
"112",2020,"Jaguar","E-PACE P250","SUV: Small",2,4,"AS9","Z",11,8.4,9.8,29,231,5,7
"113",2020,"Jaguar","F-TYPE SVR AWD Convertible","Two-seater",5,8,"AS8","Z",15.2,9.8,12.7,22,299,3,3
"114",2020,"Jaguar","XE P300 AWD","Compact",2,4,"AS8","Z",10.7,7.7,9.4,30,220,5,7
"115",2020,"Jeep","Wrangler Unlimited 4X4 eTorque","SUV: Small",2,4,"A8","X",11.3,10.5,10.9,26,257,4,5
"116",2020,"Jeep","Cherokee","SUV: Small",3.2,6,"A9","X",11.9,8.2,10.2,28,240,5,5
"117",2020,"Jeep","Gladiator 4X4","Pickup truck: Standard",3.6,6,"A8","X",13.7,10.7,12.3,23,290,3,5
"118",2020,"Jeep","Grand Cherokee 4X4 Trackhawk","SUV: Standard",6.2,8,"A8","Z",20.9,13.8,17.7,16,413,1,1
"119",2020,"Jeep","Compass","SUV: Small",2.4,4,"M6","X",10.4,7.3,9,31,211,5,3
"120",2020,"Jeep","Wrangler Unlimited 4X4","SUV: Small",3.6,6,"M6","X",13.8,10.1,12.2,23,285,3,5
"121",2020,"Jeep","Compass","SUV: Small",2.4,4,"A6","X",10.6,7.6,9.3,30,218,5,6
"122",2020,"Jeep","Cherokee 4X4 Active Drive Lock","SUV: Small",2,4,"A9","X",11.8,9.2,10.6,27,249,4,5
"123",2020,"Kia","Niro FE","Station wagon: Small",1.6,4,"AM6","X",4.5,4.8,4.7,60,110,10,7
"124",2020,"Kia","Sorento AWD","SUV: Small",3.3,6,"AS8","X",12.3,9.5,11.1,25,261,4,5
"125",2020,"Kia","Forte 5","Full-size",2,4,"AV","X",8,6,7.1,40,169,7,5
"126",2020,"Kia","Forte","Mid-size",2,4,"M6","X",8.6,6.4,7.6,37,180,7,5
"127",2020,"Kia","Niro","Station wagon: Small",1.6,4,"AM6","X",4.6,5.1,4.8,59,114,10,7
"128",2020,"Lamborghini","Huracan Spyder AWD","Two-seater",5.2,10,"AM7","Z",18,12.9,15.7,18,370,2,1
"129",2020,"Lamborghini","Aventador Roadster","Two-seater",6.5,12,"AM7","Z",26.6,15.8,21.7,13,493,1,1
"130",2020,"Land Rover","Discovery Sport P250","SUV: Small",2,4,"AS9","Z",12.6,9.7,11.3,25,266,4,7
"131",2020,"Land Rover","Range Rover Sport Supercharged","SUV: Standard",5,8,"AS8","Z",14.1,10.7,12.6,22,294,3,3
"132",2020,"Land Rover","Range Rover Sport 3.0","SUV: Standard",3,6,"AS8","Z",12.6,9.6,11.3,25,264,4,7
"133",2020,"Land Rover","Range Rover Velar P300","SUV: Small",2,4,"AS8","Z",11.7,9.2,10.6,27,248,4,7
"134",2020,"Land Rover","Range Rover Evoque P250","SUV: Small",2,4,"AS9","Z",11.8,8.7,10.4,27,245,5,7
"135",2020,"Lexus","LX 570","SUV: Standard",5.7,8,"AS8","Z",19.2,14.3,16.9,17,395,1,3
"136",2020,"Lexus","NX 300h AWD","SUV: Small",2.5,4,"AV6","X",7.2,7.9,7.5,38,176,7,7
"137",2020,"Lexus","RX 450h L AWD","SUV: Standard",3.5,6,"AV6","Z",8.1,8.4,8.1,35,190,6,7
"138",2020,"Lexus","LS 500 AWD","Mid-size",3.4,6,"AS10","Z",13.2,8.7,11.1,25,262,4,3
"139",2020,"Lexus","IS 350 AWD","Compact",3.5,6,"AS6","Z",12.3,9.1,10.9,26,254,4,5
"140",2020,"Lexus","NX 300 AWD F SPORT","SUV: Small",2,4,"AS6","Z",10.8,8.9,9.9,29,232,5,3
"141",2020,"Lincoln","Continental AWD","Full-size",3,6,"AS6","X",14.5,9.8,12.3,23,289,3,5
"142",2020,"Lincoln","Nautilus AWD","SUV: Small",2,4,"AS8","X",12,9.6,10.7,26,250,4,5
"143",2020,"Lincoln","MKZ Hybrid","Mid-size",2,4,"AV","X",5.5,5.7,5.6,50,131,9,7
"144",2020,"Maserati","Quattroporte S Q4","Full-size",3,6,"AS8","Z",15,10.3,12.8,22,301,3,1
"145",2020,"Maserati","Levante Trofeo","SUV: Standard",3.8,8,"AS8","Z",17.3,12.9,15.3,18,360,2,1
"146",2020,"Mazda","CX-5","SUV: Small",2.5,4,"AS6","X",9.7,7.8,8.8,32,206,6,7
"147",2020,"Mazda","Mazda3 4-Door (Cylinder Deactivation)","Compact",2.5,4,"AS6","X",8.8,6.6,7.8,36,183,7,7
"148",2020,"Mazda","CX-30 4WD","SUV: Small",2.5,4,"AS6","X",9.9,7.7,8.9,32,208,6,7
"149",2020,"Mazda","CX-5 4WD (Cylinder Deactivation)","SUV: Small",2.5,4,"AS6","X",9.8,7.9,9,31,208,6,7
"150",2020,"Mazda","Mazda3 5-Door","Mid-size",2.5,4,"AS6","X",9,6.8,8,35,187,7,7
"151",2020,"Mazda","CX-30","SUV: Small",2,4,"AS6","X",8.9,7.1,8.1,35,189,6,7
"152",2020,"Mercedes-Benz","AMG CLS 53 4MATIC+","Compact",3,6,"A9","Z",12.4,8.7,10.7,26,235,5,5
"153",2020,"Mercedes-Benz","AMG S 63 4MATIC+ Coupe","Compact",4,8,"A9","Z",14,8.7,11.6,24,271,4,5
"154",2020,"Mercedes-Benz","S 560 4MATIC SWB","Mid-size",4,8,"A9","Z",13.5,8.6,11.3,25,265,4,5
"155",2020,"Mercedes-Benz","AMG C 43 4MATIC Coupe","Subcompact",3,6,"A9","Z",12.9,8.8,11.1,25,255,4,5
"156",2020,"Mercedes-Benz","AMG S 65","Full-size",6,12,"A7","Z",18.6,10.9,15.1,19,356,2,3
"157",2020,"Mercedes-Benz","AMG C 63","Compact",4,8,"A9","Z",13.2,8.7,11.2,25,263,4,5
"158",2020,"Mercedes-Benz","AMG C 43 4MATIC Cabriolet","Subcompact",3,6,"A9","Z",12.7,9.2,11.2,25,263,4,5
"159",2020,"Mercedes-Benz","AMG C 43 4MATIC Wagon","Station wagon: Small",3,6,"A9","Z",12.4,8.9,10.8,26,255,4,5
"160",2020,"Mercedes-Benz","E 450 4MATIC Cabriolet","Subcompact",3,6,"A9","Z",12.7,10.1,11.6,24,271,4,5
"161",2020,"MINI","Cooper S 3 Door","Subcompact",2,4,"AM7","Z",8.9,6.6,7.9,36,184,7,7
"162",2020,"MINI","Cooper S Convertible","Minicompact",2,4,"AM7","Z",9.2,6.9,8.1,35,191,6,7
"163",2020,"MINI","John Cooper Works 3 Door","Subcompact",2,4,"AS8","Z",9.2,6.9,8.1,35,190,6,7
"164",2020,"Mitsubishi","RVR 4WD","SUV: Small",2,4,"AV6","X",10.1,8.2,9.2,31,213,5,5
"165",2020,"Mitsubishi","Outlander 4WD","SUV: Small",2.4,4,"AV6","X",9.9,8.1,9.1,31,212,5,5
"166",2020,"Nissan","Versa","Compact",1.6,4,"M5","X",8.6,6.7,7.7,37,181,7,7
"167",2020,"Nissan","Rogue AWD","SUV: Small",2.5,4,"AV","X",9.6,7.5,8.7,32,204,6,7
"168",2020,"Nissan","370Z","Two-seater",3.7,6,"M6","Z",13.3,9.3,11.5,25,270,4,3
"169",2020,"Nissan","Rogue","SUV: Small",2.5,4,"AV","X",9.1,7.1,8.2,34,192,6,7
"170",2020,"Nissan","Titan 4WD","Pickup truck: Standard",5.6,8,"AS9","Z",15.1,11.1,13.3,21,313,3,5
"171",2020,"Nissan","370Z Roadster","Two-seater",3.7,6,"AS7","Z",13,9.7,11.5,25,271,4,3
"172",2020,"Porsche","911 Carrera S Cabriolet","Minicompact",3,6,"AM8","Z",12.7,10.2,11.6,24,272,4,5
"173",2020,"Porsche","Cayenne Turbo","SUV: Standard",4,8,"AS8","Z",15.6,12.4,14.1,20,329,3,5
"174",2020,"Porsche","Panamera 4","Full-size",3,6,"AM8","Z",12.4,9,10.9,26,253,4,5
"175",2020,"Porsche","Cayenne","SUV: Standard",3,6,"AS8","Z",12.5,10.3,11.5,25,269,4,5
"176",2020,"Porsche","Panamera Turbo Executive","Full-size",4,8,"AM8","Z",12.8,9.2,11.2,25,261,4,3
"177",2020,"Ram","1500 eTorque","Pickup truck: Standard",3.6,6,"A8","X",11.9,9.4,10.8,26,253,4,5
"178",2020,"Ram","1500 Classic 4X4","Pickup truck: Standard",5.7,8,"A8","X",16.2,11.6,14.1,20,330,3,3
"179",2020,"Ram","1500 eTorque","Pickup truck: Standard",5.7,8,"A8","X",14.1,10.3,12.4,23,290,3,3
"180",2020,"Rolls-Royce","Dawn","Compact",6.6,12,"AS8","Z",20.4,13.1,17.1,17,400,1,3
"181",2020,"Rolls-Royce","Wraith","Mid-size",6.6,12,"AS8","Z",19.6,12.8,16.5,17,387,1,3
"182",2020,"Subaru","Crosstrek AWD","SUV: Small",2,4,"AV8","X",8.5,7,7.9,36,185,7,6
"183",2020,"Subaru","Impreza 4-Door AWD","Mid-size",2,4,"AV7","X",8.3,6.4,7.5,38,174,7,6
"184",2020,"Subaru","Ascent AWD","SUV: Standard",2.4,4,"AV8","X",11.6,9,10.4,27,244,5,3
"185",2020,"Subaru","Impreza 5-Door AWD","Station wagon: Small",2,4,"M5","X",10.1,7.7,9,31,211,5,6
"186",2020,"Toyota","Camry Hybrid LE","Mid-size",2.5,4,"AV6","X",4.9,4.8,4.9,58,113,10,7
"187",2020,"Toyota","Tundra","Pickup truck: Standard",5.7,8,"AS6","X",17.7,13.6,15.9,18,371,2,5
"188",2020,"Toyota","Avalon","Mid-size",3.5,6,"AS8","X",10.9,7.6,9.4,30,220,5,5
"189",2020,"Toyota","RAV4 Hybrid AWD","SUV: Small",2.5,4,"AV6","X",5.7,6.3,6,47,139,9,7
"190",2020,"Toyota","Tundra 4WD","Pickup truck: Standard",5.7,8,"AS6","X",18,14.2,16.3,17,381,1,5
"191",2020,"Toyota","Sienna AWD","Minivan",3.5,6,"AS8","X",13.4,9.6,11.7,24,274,4,5
"192",2020,"Toyota","Tacoma 4WD","Pickup truck: Small",2.7,4,"AS6","X",12.7,10.6,11.7,24,274,4,5
"193",2020,"Toyota","Sequoia 4WD","SUV: Standard",5.7,8,"AS6","X",18.5,13.9,16.4,17,385,1,5
"194",2020,"Toyota","Highlander AWD","SUV: Small",3.5,6,"AS8","X",11.7,8.6,10.3,27,240,5,5
"195",2020,"Toyota","Highlander Hybrid AWD","SUV: Standard",2.5,4,"AV6","X",6.7,6.8,6.7,42,158,8,7
"196",2020,"Toyota","Corolla XLE","Compact",1.8,4,"AV","X",8.1,6.3,7.3,39,170,7,5
"197",2020,"Volkswagen","Tiguan 4MOTION","SUV: Small",2,4,"AS8","X",11.5,8.7,10.2,28,241,5,7
"198",2020,"Volkswagen","Tiguan","SUV: Small",2,4,"AS8","X",10.5,8.1,9.4,30,221,5,7
"199",2020,"Volkswagen","Golf","Compact",1.4,4,"AS8","X",8.1,6.6,7.4,38,174,7,7
"200",2020,"Volvo","XC60 T6 AWD","SUV: Small",2,4,"AS8","Z",11.7,8.6,10.3,27,240,5,7
"201",2020,"Volvo","V60 T6 AWD","Station wagon: Small",2,4,"AS8","Z",11,7.4,9.4,30,219,5,7
"202",2020,"Volvo","S60 T6 AWD","Compact",2,4,"AS8","Z",11,7.4,9.4,30,219,5,7
